Title;Views;Date;Url;Post;Images
Топ-рекорды про-сцены CS:GO;59;10 Мар. 2022;https://blog.cs.money/kibersport/top-rekordy-pro-sczeny-csgo/;"Этим летом CS:GO исполнится 10 лет. За это время киберспорт очень сильно развился: призовые фонды выросли, количество топовых турниров увеличилось. БлогCS.MONEYрассказывает о самых значимых и запоминающисхся рекордах каэсерской про-сцены.

В начале развития CS:GO NiP не было равных: шведы одними из первых перешли на новую версию игры и быстро к ней адаптировались. Команде принадлежит немыслимый рекорд: на лан-турнирах она не проигрывала 87 карт подряд! То есть все матчи за этот период заканчивались со счетом 2:0. Остановить NiP получилось у Virtus.pro на турнире от Старладдера: тогда «медведи» дважды обыграли непобедимый состав.

В среднем матч в CS длится 40-45 минут. Когда игра переходит в овертаймы — чуть побольше. Но иногда победителя не удается определить очень долго. Самый продолжительный матч в истории CS состоялся в 2015 году: британские команды Xenex и Excel играли на ESL UK Premiership Season 1. На первой карте, Inferno, они сыграли 86 раундов! Xenex выиграла со счетом 46:42.

Самый продолжительный матч на мейджорах состоялся межлу Astralis и Crazy на Starladder Berlin Major 2019. Всего сыграли 60 раундов: датчане победили 31:29.

На турнире Acer Predators Masters 2015 организаторы сделали необычный формат финала: чтобы победить в матче, нужно было выиграть четыре карты. В финал прошли Hellraisers и Mouz, у которой было преимущество в одну карту. А потом они выиграли еще две. Счет был 3:1 в пользу Mouz.

У Hellraisers не осталось права на ошибку  им нужно было выигрывать три карты подряд — и они это сделали.

2021-й — год NAVI. Команда выиграла все лан-турниры, включая мейджор. На PGL Major Stockholm 2021 желто-черные установили уникальный рекорд: они стали чемпионами, не проиграв ни одной карты. Ранее в истории мейджоров такого не было — даже в эру Astralis.

За 2021 год Александр S1mple Костылев получил 8 MVP. Он побил рекорд Николая Device Ридтца, у которого было 7 наград в 2018-м.

Интересно, какие рекорды от игроков или команд мы увидим в 2022 году?";
Valorant в киберспорте: интервью с представителем Riot Games;2791;12 Окт. 2020;https://blog.cs.money/igry/valorant-v-kibersporte-intervyu-s-predstavitelem-riot-games/;"VALORANT сейчас у всех на слуху. Это первый шутер от Riot Games и первый настоящий конкурент Counter-Strike за очень долгое время. Пока кто-то верит в будущее VALORANT, а кто-то в нем сомневается, ROX и Gambit Esports уже открыли свои составы по этой игре.

Мы смогли пообщаться с  Даниилом “Dantesushka” Крючковым, директором по развитию Riot Games в странах СНГ, и расспросить его о положении VALORANT в СНГ, о скинах, токсиках, войс чате и о киберспортивной в жизни в период пандемии COVID-19.

— Здравствуйте!  Расскажите, пожалуйста, что входит в обязанности ответственного за развитие VALORANT в СНГ?

— Привет! Если коротко, задача в том, чтобы как можно больше игроков играло в нашу игру. Вся сложность в подборе инструментов для выполнения этой задачи. Я часто встречаю мнения в стиле “а что такого, дал рекламу, и все”. К сожалению, в реальном мире все это очень дорого и не так эффективно. Поэтому мы стараемся помимо классических маркетинговых инструментов создавать что-то дополнительное для наших игроков — будь то коллаборации с Покрасом Лампасом для VALORANT или внутриигровые события в LoL.

— В СНГ много токсичных игроков и ливеров в сравнении с другими регионами?

— Это популярный миф. В каждом регионе игроки думают, что уж их-то земляки самые токсичные. На самом деле люди примерно везде одинаковы, и это видно по объективным метрикам на нашей стороне.

—  Развитие киберспортивной составляющей Valorant в СНГ будет сложным? Что вы думаете по этому поводу?

— Конечно, сложно предугадать. В СНГ свои особенности. В основном, они лежат в области монетизации спорта (не только кибер-). Мы будем активно работать над привлечением спонсоров. К счастью, дизайн VALORANT позволяет привлекать компании из любых классических отраслей. Да, игра  про стрельбу, но ее сеттинг, предыстория вымышленного конфликта, возрастной рейтинг и наличие режима без крови позволяют подключаться к экосистеме разнообразным спонсорам.

— Этот вопрос вам задавали не раз, но хотелось бы прояснить по поводу войс-чата. Перейдя на EU West сервер в League of Legends, мы можем общаться в голосовом чате с иностранцами. На RU сервере такая возможность отсутствует, почему?Умельцы смогли получить доступ к войс-чату с помощью VPN. Как скоро можно будет разрешить этот вопрос, потому что играть без войс чата в тактический шутер, мягко скажем, дискомфортно.

— Как компания, самостоятельно оперирующая свои игры практически по всему миру, мы научились принимать во внимание законодательства территорий, на которых мы работаем. К сожалению, иногда неопределенности в правовой среде не оставляют нам шанса использовать какие-то фичи. В данном случае —  войс-чат на территории РФ (в других странах СНГ он работает). В LoL немного другая архитектура сервисов и она привязана к “серверам”, в отличие от VALORANT.

— Каково положение Valorant в СНГ на текущий момент? Вы видите киберспортивную движуху или все таки игра пока остается более казуальной, нежели киберспортивной?

— Движуху видим, её будет больше.. В целом, для нас киберспорт — это вишенка на торте, развлечение для наших игроков, маркер тактической глубины игры, её развития. В отличие от игр в общепринятом понимании, это  медиа-бизнес, который строится вокруг трансляций турниров. А ими интересуется лишь доля от общего числа игроков.Возможно, миф про казуальность складывается из предубеждения, что умения облегчают игру — но не забывайте, что аналогичные умения действуют и против вас. Наоборот, я бы сказал, что игра сейчас очень хардкорна Даже в более расслабленных режимах (например, нерейтинговый десматч или быстрая установка бомбы)  сердечко стучит будь здоров.

— На данный момент у нас не так много турниров, только вот VALORANT Ignition Series и турниры от киберспортивных команд. Это связано с пандемией или причины в другом?

— Причина — стадия развития игры. Мы в самом начале, игра вышла меньше полугода назад. Однако громкий успех и внимание к игре создали запрос от сообщества на турниры, который мы частично удовлетворили, используя Ignition series и наши гайдлайны для сообщества. Само собой, мы не сидели спустя руки и планировали киберспортивное будущее. Так, мы анонсировали First Strike — первый турнир именно от нас. Ожидайте больше новостей в ближайшие месяцы — как обычно, мы открыто расскажем о планах.

—  Почему скины стоят так дорого? Они, безусловно, очень красивые, однако если посмотреть на скины в League of Legends, то цена кусается не так сильно, а в случае с Valorant, ценник буквально откусывает все тело.

— Если честно, думаю ответ лежит на поверхности, достаточно зайти в магазин игры. Несмотря на то, что мы действительно выпускаем контент регулярно и небольшими порциями, пока мы не инвестировали усилия команды непосредственно в сам магазин и маркетинговые инструменты, включая инструментарии скидок, распродаж и т.д. Не переживайте — руки до этого обязательно дойдут в будущем. Вопрос о доступности контента видим от сообщества — а мы, как компания, которая с сообществом разговаривает, понимаем желания игроков и на них реагируем.";
Киберспорт и читы;6777;29 Май. 2021;https://blog.cs.money/kibersport/kibersport-i-chity/;"После успехов состава Akuma на RMR-турнире, в сообществе Counter-Strike: Global Offensive опять поднялась тема читерства.Блог CS.MONEYрешил присоединиться к обсуждению и рассказать всё о киберспорте и читах.

Важно!Мы не обвиняем команду Akuma в нечестной игре и выступаем против «охоты на ведьм». Наша задача — рассказать почему читы существуют до сих пор и что с этим делать.

Начнем издалека. Читы — это специальные программы, которые дают преимущество в игре. Преимущество может быть разным: от возможности видеть сквозь стены до полной компенсации отдачи. Только представь, ты зажимаешь из калаша, а отдачи нет — все автоматически компенсирует ПО мыши.

Отдельно от этого стоят чит-коды. Их, по понятным причинам, невозможно использовать в сетевой игре. Фанаты GTA наверняка баловались, устраивая хаос в городе с помощью чит-кодов, а любители StarCraft начисляли дополнительные минералы для упрощения миссий в кампаниях. Главное отличие от читов — они вшиты в игру самими разработчиками.

В Counter-Strike: Global Offensive, например, есть команда которая убирает отдачу. Но вот незадача, ее невозможно использовать без команды sv_cheats 1. Понятное дело в соревновательных играх у sv_cheats всегда значение 0.

Разработчики сетевых игр и читеры находятся в бесконечной гонке вооружений. Победить в ней принципиально невозможно. Для сдерживания нечестных игроков применяются разные методы. Например, в Battlefield отлавливают читеров, выискивая отклонения в статистике. В подавляющем большинстве случаев игрок с K/D 50 — читер.

В TrackMania совсем недавно прогремел скандал с нечестными игроками. Оказалось, что некоторые рекордсмены специально замедляли игру, чтобы безупречно проехать заезд. Выяснить это удалось после анализа демок с аномальными показателями «изменения направления». Как и в случае с Battlefield, этот метод не дает 100% гарантию поимки читера, он лишь помогает найти отклонения в статистике. Обычно их причиной являются нечестные игроки, но не всегда.

В киберспорте все сложнее. Отловить читера по статистике очень сложно, если мы не говорим о самых наглых случаях. Чего уж там, баг с тренером использовался втайне месяцами, пока сообщество обратило на него внимание. Скомпрометированы оказались десятки матчей, хотя во время самой игры казалось, что обманщики просто хорошо подготовились.

Кроме этого, читы можно ловить при помощи специального ПО, но и оно не дает гарантированного результата. У Valve есть VAC и он печально известен своей медлительностью. Но в этом сложно обвинить компанию. Бан от VAC необратим, а потому алгоритм должен исключать случайные срабатывания.

Два года назад Кристоффера Faken Андерссона поймали за читерством прямо во время трансляции. Зрителям удалось разглядеть в отражении на его очках признаки читерства. Звучит как сюжет для очередной серии CSI: Miami, но этот прецедент подсказывает, как побороть читы в киберспорте.

Одно из преимуществ виртуальных соревнований, возможность играть удаленно, порождает и одну из главных проблем — отсутствие контроля. В обычном спорте атлеты всегда под надзором судей и арбитров. Им нужно сдать тест на допинг, любая сторонняя помощь тут же становится заметной. В киберспорте именно онлайн-часть и дает простор для обмана.

Исправить это можно с помощью стороннего наблюдателя. Уже сейчас игроки используют камеры на трансляциях. Установка второй камеры за спиной игрока позволит наблюдателю контролировать игровой процесс и пресекать подавляющее большинство читов. Это дорогой способ, ведь кроме камер для игроков, самим организаторам придется дорабатывать инфраструктуру.

Других способов пока нет. Если бы на турнирах уже сегодня использовались камеры и наблюдатели, то слухов вокруг успехов состава Akuma не могло возникнуть вовсе. Возможно, крупным турнирам пора пересмотреть свои правила и добавить новые меры борьбы с читерами.";"https://blog.cs.money/wp-content/uploads/2021/05/all-about-cheats-in-cs_go_ru.jpg
https://blog.cs.money/wp-content/uploads/2021/05/csgo-rdrawothermodels-wallhack-command.jpg"
Лучшее 2021: дюжина материалов блога, которые ты обязан прочесть;620;30 Дек. 2021;https://blog.cs.money/novosty-csmoney/luchshee-2021-dyuzhina-materialov-bloga-kotorye-ty-obyazan-prochest/;"В уходящем году блогCS.MONEYопубликовал сотни записей. Мы писали о скинах, обновлениях игры, операциях, киберспорте — в общем охватывали всю жизнь в Counter-Strike: Global Offensive. Сейчас самое время подвести черту и выбрать самые крутые материалы блога в 2021 году. То, что ты просто обязан прочесть!

Чтобы не пропустить самые интересные материалы блогCS.MONEYне обязательно ждать конца года. Подпишись на нашу рассылку и ты всегда будешь получать самые сочные заметки в одном письме. Никакого мусора, только дистиллированный первоклассный контент.

А еще не забывайте, что у нас вовсю идетРождественское ограбление, где можно сделать себе подарок самому!";
Делаем ставки: игроки, которые выстрелят в 2022;335;9 Янв. 2022;https://blog.cs.money/novosty-csmoney/delaem-stavki-igroki-kotorye-vystrelyat-v-2022/;"Прошедший год был полон сенсациями и успехами молодых игроков в CS:GO. Сегодня блогCS.MONEYрасскажет про киберспортсменов, имеющих солидные шансы на успех в 2022 году.

Память об успехах 19-летнего шведа еще свежа. Немногие слышали о нем до 10 декабря 2021 года. Тогда прогремела новость: в полуфинале IEM Winter не мог принять участие основной снайпер команды NIP — Николай device Ритц. Его решили заменить перспективным пареньком из академии — Ловом phzy Смидебрантом. Выход шведско-датского коллектива в финал турнира стал неожиданностью — они переиграли G2, а сам Лов внес огромный вклад в успех, в особенности — на карте Nuke, закончив ее с рейтингом 1.23. phzy заменил датского снайпера и на BLAST Premier World Final и, хоть команда и вылетела без единой победы, Смидебрант, несмотря на неважную сыгранность с командой, на большинстве карт, сыгранных против лучших составов Европы, отыграл с хорошим K/D и смотрелся весьма уверенно. Швед показал свой высокий потенциал!

ПрогнозCS.MONEY: phzy сможет закрепиться в основном составе NIP в случае ухода device или будет продан в другую команду за хорошие деньги в связи с выдающимися показателями.

Когда-то этого игрока в читерствеподозревалсам Даниил Zeus Тесленко. Сегодня же Алексей El1an Гусев является одним из самых перспективных снайперов России. Красноречиво говорит статистика: у Гусева лишь 1 турнир за год сыгран с отрицательным K/D, а его команда Entropiq становится мощной силой в Европе и наравне с Copenhagen Flames главным открытием PGL Major Stockholm! Для успеха у Алексея есть, кажется, все: сыгранный коллектив, опытный тренер Дмитрий hooch Богданов. Вторые места на V4 Future Festival и ESEA Premier Season 39 слегка бьют по морали, но дают бесценный для El1an&co опыт.

ПрогнозCS.MONEY: El1an войдет в пятерку лучших снайперов Европы и поборется со своей командой за высокие места на тир-1 турнирах.

Игрок из ЮАР Джош oSee Ом на данный момент является чуть ли ни единственным по-настоящему перспективным снайпером Америки. Уходящий год стал весьма успешным для него и Extra Salt: пока Liquid сражались в Европе, «соленые» собирали трофеи внутри североамериканского региона. oSee показывал феноменальную игру почти на каждом турнире, во многом вокруг него строится игра команды. Не просто так Джошвошел в список желаемых трансферов Liquid.

ПрогнозCS.MONEY: oSee перейдет в более сильную команду и будет претендовать на попадание в топ-20 лучших игроков 2022 года.

Неожиданно для многих в 2021 выстрелил англичанин Уильям mezii Мерриман, использующий весьмаэкстравагантные настройкив CS:GO. В неудачном проекте Cloud9 Уильям был чуть ли ни единственным лучиком света, после чего продолжил выступления на родине в Endpoint. Демонстрируя высокий уровень игры с снайперскими и штурмовыми винтовками, Мерриман заслужил контракт с кризисными, но именитыми fnatic. Британская авантюра организации оказалась удачной: 3 островитянина и 2 шведа стали весьма удачно выступать на тир-2 турнирах и даже выиграли DreamHack Open November 2021, на котором mezii вошел в тройку лучших игроков наравне с Овеном smooya Баттерфилдом и Людвиг Brollan Бролин. Если fnatic продолжат прогрессировать, 2022-й год может стать прорывным для Уильяма.

ПрогнозCS.MONEY: mezii станет значительно проблемой для соперников fnatic и продолжит бороться за наивысшие места на крупных тир-1 турнирах.

Исторически Чехия не изобилует талантами мирового уровня. Но именно Адам NEOFRAG Зухар уже в 20 лет имеет неплохой потенциал. В столь юном возрасте Адам выступает за лучшую команду страны SINNERS, являясь ее хедлайнером наравне с Томашем oskar Стастни. Создается стойкое ощущение, что NEOFRAG уже перерос местный коллектив. Чехи весьма боеспособны на тир-2 уровне, но даже феноменальный уровень игры Зухара далеко не всегда компенсирует огрехи партнеров. Весьма вероятно, что в новом году чехом заинтересуется кто-то из топ-20.

ПрогнозCS.MONEY: NEOFRAG продолжит выступать на высоком уровне и заслужит трансфер в MOUZ, ENCE, OG или иную кризисную команду.

Это были 5 игроков, которые с высокой долей вероятности выстрелят в 2022-м году. Понравилось? Тогда заценистатью о командах одного турнираиподборку скинов к новой части «Матрицы».";
3 идеи, как сделать Мейджор лучше;801;8 Ноя. 2021;https://blog.cs.money/kibersport/3-idei-kak-sdelat-meyzhor-lusche/;"PGL Major Stockholm2021 — долгожданный мейджор. Мы ведь соскучились по мэйджорам. Но соответствует ли уровень проведения главного ивента года тому, чего мы ждем от киберспорта в 2021 году? БлогCS.MONEYвыбрал три фишки, которые турнирные операторы могли бы использовать для освещения следующего мэйджора.

В Counter-Strike: Global Offensive уже есть командные стикеры и нашивки. Это неплохо, но есть одна проблема — во время матча их толком не видно. Никто не увидит твой шикарныйAK-47 Fuel Injectorc сетом наклеекNatus Vincereдо тех пор, пока не поднимет его с земли, или пока ты не дропнешь пушку тиммейту.

С нашивками еще хуже. Во-первых, многие не используют агентов принципиально. Во-вторых, в перестрелке никто особо не рассматривает противника — главное побыстрее зажать гашетку и устранить врага. В итоге ни классными стикерами, ни нашивками, в матче похвастаться не получится.

Так почему бы не добавить в игру командных агентов?

Valve уже пошли на интересный ход с автографами, добавляя их только для команд, вышедших в плей-офф. А что если заменить автографы на агентов в командной форме? Например, как это сделано в Tom Clancy’s Rainbow Six Siege.

В этой дисциплине команды, которые участвуют в мэйджоре регулярно получают командные сеты в игре. Набор предметов, состоящий из скина для пушки, брони и шлема для агента, а также брелка, можно приобрести за реальные деньги и использовать в игре.

Еще один важный момент — в Rainbow Six Siege игроки выбирают разных персонажей с разными умениями. И командный сет подходит только для одного персонажа. В CS:GO такой проблемы нет. Valve достаточно выпустить агента защиты и атаки в командной форме и готово!

Помнишь интро-ролики для операций? Описания агентов? Комиксы с сюжетом, включающим в себя события в Counter-Strike: Global Offensive? Valve уже давно заигрывает с игровым лором, но никак не может зайти в эту пучину фансервиса.

Отличным примером реализации этого подхода являются Riot Games с их League of Legends. Посуди сам: у каждого героя есть своя биография, у каждой территории есть своя страничка с инфой, периодически выходят ролики и клипы с чемпионами League of Legends. Да что там: компания даже выпустила модуль по Dungeons & Dragons — той самой настолке, в которую играли главные герои «Очень странных дел».

Настолько глубоко сразу погрузиться не получится, но можно начать с чего-нибудь базового. Взять, например, Ancient. PGL Major Stockholm 2021 — первый мейджор, где играется эта карта. Было бы круто узнать, что это за руины, почему они стали целью атаки, каков следующий шаг в этой борьбе? Valve могли бы ответить на эти вопросы. Но пока вместо них у нас есть лишь догадки в духе «Ancient — это переименованный ремейк Aztec». Очень интересно было бы посмотреть, во что Valve смогли бы развить эту идею.

Кроме игрового лора и командных скинов, этот мэйджор мог отметиться интересным шоу матчем. Для этого даже не нужно подсматривать идеи у других! Достаточно просто использовать игровые режимы, которые уже есть в Counter-Strike: Global Offensive.

Вместо привычного 5х5 матча, можно сделать мини-турнир в формате Wingman, провести еще одну королевскую битву, как на IEM Katowice Major 2019. Или просто замутить серию матчей в стиле Arms Race, где игроки смогут показать свои навыки с неметовыми пушками.

Достаточно почерпнуть вдохновение в соревнованиях от BLAST, которые сопровождались целой кучей интересных активностей с игроками. Тут и полоса препятствий, и дуэли, и командные перестрелки на изменяющейся карте. Согласись, выглядит куда интереснее чем «еще один матч 5на5».

Поделись своими идеями, которые сделают CS:GO Мейджор еще круче в комментариях.

Спасибо, что был сCS.MONEYиCS.MONEY Major Hubна протяжении PGL Major Stockholm!";"https://blog.cs.money/wp-content/uploads/2021/11/chego-ne-hvataet-mejdzhoru__ru-1.png
https://blog.cs.money/wp-content/uploads/2021/11/3-idei-dlya-mejdzhora-navi.png
https://blog.cs.money/wp-content/uploads/2021/11/lore-1.png"
Пенсионеры: куда уходят звезды киберспорта?;8868;11 Апр. 2019;https://blog.cs.money/kibersport/pensionery-kuda-uhodyat-zvezdy-kibersporta/;"По статистике, средний киберспортсмен уходит в отставку в возрасте 25-26 лет. В то время, как футболисты и олимпийские спортсмены только приближаются к своему пику, виртуальные атлеты прощаются со своей карьерой и продолжают жить. Но что они делают после окончания активной игры?

Продолжение карьеры в качестве тренера или аналитика одинаково популярно в традиционном спорте и его виртуальном аналоге. На просцене сейчас десятки ветеранов видеоигр, которые продолжили свою карьеру в таком амплуа. К примеру, Сергей «lmbt» Бежанов уже больше пяти лет выполняет функции менеджера или тренера для киберспортивных клубов. В его портфолио работа с Virtus.pro, HellRaisers и Mousesports.

Почти все топовые клубы в CS:GO тренируются под надзором бывших киберспортсменов. Менеджеры команды также вплотную знакомы с киберспортом и многие из них ранее выступали на сцене. К аналитикам это относиться еще в большей степени — редко можно встретить человека, который думает как кибератлет, не бывавшим им в прошлом. Astralis, Team Liquid, ENCE и десятки других команд не смогли бы добиться и половины своего успеха без хорошего персонала.

Еще один очевидный путь для продолжения карьеры — стать комментаторов для киберспортивных ивентов. Это отличный способ донести свой опыт и теоретические знания до широкого круга зрителей, сделав для них просмотр матчей не только приятным, но и полезным занятием. Некоторые из киберспортсменов даже совмещают основную деятельность с периодическим участием в ведении трансляций.

Например, Алексей xaoc Кучеров совмещает работу COO клуба Heroic и участие в трансляциях StarLadder. Ранее он играл на профессиональном уровне в Counter-Strike 1.6 и неоднократно поднимался на пьедесталы международных турниров. Теперь же он помогает коллегам проанализировать раунды и матчи крупнейших турниров в прямом эфире.

Игрок, построивший успешную карьеру, к моменту отставки уже обладает неплохой фан-базой. Ее с легкостью можно использовать и в дальнейшем став стримером. Для этого даже не нужно менять профиль — можно продолжать играть в любимую игру или жанр и привлекать зрителей собственным скиллом.

Майк shroud Гржесик стал самым успешным на этом поприще. Его трансляции собирают десятки тысяч зрителей, а ежемесячный доход переваливает за сотню тысяч долларов. В отличие от других стримеров, вроде Ninja или Dr DisRespect, он привлекает подписчиков не шоу, а просто очень высоким уровнем игры. А это — одно из главных умений киберспортсмена.

Также очень популярный путь после отставки. Лим Ё Хван, более известный под псевдонимом SlayerS_`BoxeR`, считается одним из первых киберспортсменов в истории. За свою карьеру он установил ряд рекордов, которые до сих пор не побиты. Его успехи и харизма повлияли на развитие виртуального спорта в Корее и всем мире.



После окончания карьеры игрока, он некоторое время выполнял роль тренера. В конце 2013 года он поставил точку в карьере и теперь выступает как игрок в покер и работает моделью для Fulpot Poker. Впрочем, он все еще появляется в качестве приглашенной звезды на некоторых ивентах. В этой роли он посетил BlizzCon 2015.

Еще один вариант «продолжить» карьеру после отставки — ничего не делать и просто радоваться жизни, используя заработанные деньги. С учетом размера призовых фондов современных турниров, а также зарплат и спонсорских выплат, лучшие киберспортсмены могут позволит себе годы или даже десятилетия беззаботной жизни после окончания карьеры.

Конечно, вряд ли кто-то решится ничем не заниматься и просто тратить деньги, но вот взять паузу на парочку лет — выглядит заманчивой идеей. В конечном итоге, всегда можно уехать на несколько лет ловить волны у берегов Бали, наслаждаться жизнью и подрабатывать инструктором, как это сделал Александр KALbI4 Грибов.

Несмотря на все это разнообразие, вопрос «жизни после киберспорта» волнует киберспортивные организации. Леопольд Чунг, исполняющий обязанности генерального секретаря международной федерации киберспорта отметил: «Тольконебольшой процент киберспортивных игроков достигает успеха. Что мы будем делать с остальными игроками? Наша академия стремится заботиться обо всех вышедших на пенсию киберспортсменах».

Впрочем, пока что этот вопрос стоит не так остро и экс-киберспортсменам сравнительно легко продолжить свою жизнь после окончания карьеры.";
Североамериканский CS:GO: на грани;679;29 Ноя. 2021;https://blog.cs.money/kibersport/severoamerikanskij-csgo-na-grani/;"Три года назад североамериканский CS:GO был на подъеме. В финале Бостонского мэйджора составCloud9сыграл противFaZe Clanи победил. Это была первая и пока единственная победа североамериканской команды на мэйджоре. БлогCS.MONEYразбирается в том, почему она может стать последней.

Североамериканская просцена Counter-Strike: Global Offensive не смогла пережить закрытие границ, изоляцию и отсутствие LAN-турниров. Из команд конца 2017 года, то есть времен того самогоELEAGUE Major: Boston 2018, на котором победилаCloud9, до наших дней дожили только три.

Почти все игроки из тех составов уже не выступают на просцене. Часть закончила карьеру, часть — сменила дисциплину. Сегодня среди тридцати лучших команд мира только две из Северной Америки. В десятке лучших таких клубов просто нет.

Мы лишь констатируем факт: североамериканский Counter-Strike за три года прошел путь от чемпионства на мэйджоре до грани вымирания. Настало время выяснить причины такой печальной ситуации.

Первая и, пожалуй, главная причина — сравнительно низкая популярность игры в Северной Америке, а конкретно в США. В стране очень популярны консоли. Многие игроки просто не видят смысла играть в «контру», когда под рукой есть XBOX или PS с новой Halo илиCall of Duty.

В итоге консольные шутеры собирают и больше игроков в матчах, и больше зрителей на трансляциях. Counter-Strike: Global Offensive, который актуален только для ПК, находится не в самом выгодном положении. Не самая высокая популярность игры привела к следующей причине проблем с американским CS.

Если посмотреть на турниры серии IEM, которые проходили в Северной Америке, то можно заметить закономерность. На всех соревнованиях без ограничения по региону выступали европейские команды. И не просто выступали — больше половины титулов забирали клубы из Старого Света.

Увидеть в финале, например IEM XII Oakland, два европейских состава было нормой. Такая интернациональность играла на руку популярности турниров. Но когда границы закрылись, популярность и выгодность турниров ожидаемо пошла на спад.

Возьмем к примеруDreamHack Open March 2021. Восемь команд,$70 000призовых, группы в форматеGSLи плей-офф на четыре команды. А еще на этом турнире выступала лучшая на сегодня команда из США —Team Liquid. Кстати, ее последним турниром в текущем составе (очевидно, из-за неудовлетворительных результатов) станетBLAST Premier: World Final 2021. А после турнира в состав вернется один из ее бывших игроков 🙂

Статистика у этого соревнования получилась очень неплохой, учитывая масштаб. Больше100 000зрителей в пике и30 000в среднем на трансляции. Но эти числа портит один факт: две трети зрителей смотрели не английский стрим, а португальский. Большинство зрителей, которых собрал североамериканский DreamHack — из Южной Америки.

Всего месяц спустя прошел турнирCBCS Elite League. Призовой фонд —$19 000, участники — команды из Южной Америки и45 000зрителей в среднем на трансляции! Вполовину лучшие показатели за меньшие деньги.

Стоит ли говорить, что североамериканские турниры не очень выгодны? Очевидно, намного выгоднее провести соревнование в другом регионе.

Возможно, североамериканский CS:GO мог бы пережить этот спад без особых проблем. Но из-заValorantна просцене КС-а произошел чудовищный отток игроков. Раз в неделю, а то и чаще, очередной топовый американский киберспортсмен заявлял о смене дисциплины.

Riot Games, разработчик и издатель игры, всеми силами старается поддерживать и растить просцену в Северной Америке. У компании уже получилось провернуть этот трюк сLeague of Legendsи, похоже, получится сValorant.

Не будем голословны.Twitch Rivals: VALORANT Series 1закончился в марте, а за день до финала этого турнира начался уже упомянутыйDreamHack Open March 2021. На турнире по Valorant тоже сыграло восемь американских команд. И призовой фонд тоже был скромным, даже меньше чем на DreamHack — всего$50 000. Отличия были лишь в дисциплине и формате группового этапа и плей-офф.

Но по просмотрам Twitch Rivals: VALORANT Series 1 оказался намного круче. При сравнимых пиковых показателях,85 000зрителей у Valorant против105 000у CS:GO, среднее число намного выше! На рубилово в Valorant в среднем смотрело больше50 000зрителей. Итог очевиден: Twitch Rivals: VALORANT Series 1, пробыв меньше времени в эфире, нафармил большее число просмотров, чем североамериканский DreamHack.

А ведь этот турнир был даже не среди команд с фан-базой, а просто среди миксов из киберспортсменов и стримеров! Полноценные киберспортивные турниры собрали еще больше.

PGL Major Stockholm 2021мог стать спасением для североамериканских команд. Из-за формата RMRTeam Liquid и Evil Geniusesне просто прошли на турнир, но попали сразу в Legends Stage. Обе команды задолго до первого матча в Стокгольме обеспечили себе попадание в топ-16 и получили целую кучу времени на подготовку.

Но результат выступлений показателен. Обе команды на двоих смогли вырвать одну победу.Team LiquidобошлаENCEна карте Dust 2 со счетом16:8. Это можно назвать небольшим достижением. На тот момент ENCE была в десятке лучших команд мира по версии HLTV.

Остальные матчи были куда печальнее: североамериканские команды с трудом достигали отметки в десять взятых раундов. На их фоне уже упомянутые команды из Южной Америки выглядели настоящими монстрами —FURIA Esportsсмогла выйти в плей-офф! Конечно, это не «бразильские финалы», но все еще видно то, насколько губительным ограничение по региону из-за пандемии стало для команд из США и Канады.

Нет. Компания уже не раз показывала, что вмешивается в киберспорт только в случае крайней необходимости. Во все оставшееся время экосистема пытается справляться сама. Это простая и понятная позиция, но в ситуации с североамериканской просценой она значит, что турнирным операторам и командам не стоит ждать помощи.

Мы уже можем говорить об откате просцены на уровень пяти-семилетней давности. Да-да, в те самые времена, когда Team Liquid приходилось «выписывать» себе из СНГ молодую и перспективную звездуs1mpleдля повышения успешности состава. Что забавно, в этот раз команда выписала себе из другого региона опытного и успешного бразильского капитанаFalleN.

Североамериканский CS еще не умер, но он на грани. Пандемия, последовавшая за ней изоляция, турнирный голод, отсутствие поддержки со стороны Valve — град ударов отправил киберспорт в Северной Америке в нокдаун. И теперь главная загадка: сколько лет он будет вставать на ноги?

Если тебе понравилась эта заметка, обязательно подпишись на нашу рассылку. Поле для подписки ниже, просто оставь свой адрес и жди писем. В них мы будем рассказывать тебе о самых интересных материалах блога, так что ты никогда не пропустишь крутые записи.";"https://blog.cs.money/wp-content/uploads/2021/11/na-cs_go_ru.png
https://blog.cs.money/wp-content/uploads/2021/11/cod-event.png
https://blog.cs.money/wp-content/uploads/2021/11/dreamhack-open-march-2021-na.png
https://blog.cs.money/wp-content/uploads/2021/11/twitch-rivals-valorant-series-1.png
https://blog.cs.money/wp-content/uploads/2021/11/na-cs_go-pgl-major.png"
